station_code,station_name,latitude,longitude
A01,Metro Center,38.898303,-77.028099
A02,Farragut North,38.903192,-77.039766
A03,Dupont Circle,38.909499,-77.04362
A04,Woodley Park-Zoo/Adams Morgan,38.924999,-77.052648
A05,Cleveland Park,38.934703,-77.058226
A06,Van Ness-UDC,38.94362,-77.063511
A07,Tenleytown-AU,38.947808,-77.079615
A08,Friendship Heights,38.960744,-77.085969
A09,Bethesda,38.984282,-77.094431
A10,Medical Center,38.999947,-77.097253
A11,Grosvenor-Strathmore,39.029158,-77.10415
A12,North Bethesda,39.048043,-77.113131
A13,Twinbrook,39.062359,-77.121113
A14,Rockville,39.084215,-77.146424
A15,Shady Grove,39.119819,-77.164921
B01,Gallery Pl-Chinatown,38.89834,-77.021851
B02,Judiciary Square,38.896084,-77.016643
B03,Union Station,38.897723,-77.006745
B04,Rhode Island Ave-Brentwood,38.920741,-76.995984
B05,Brookland-CUA,38.933234,-76.994544
B06,Fort Totten,38.951777,-77.002174
B07,Takoma,38.975532,-77.017834
B08,Silver Spring,38.993841,-77.031321
B09,Forest Glen,39.015413,-77.042953
B10,Wheaton,39.038558,-77.051098
B11,Glenmont,39.061713,-77.05341
B35,NoMa-Gallaudet U,38.907407,-77.002961
C01,Metro Center,38.898303,-77.028099
C02,McPherson Square,38.901316,-77.033652
C03,Farragut West,38.901311,-77.03981
C04,Foggy Bottom-GWU,38.900599,-77.050273
C05,Rosslyn,38.896595,-77.07146
C06,Arlington Cemetery,38.884574,-77.063108
C07,Pentagon,38.869349,-77.054013
C08,Pentagon City,38.863045,-77.059507
C09,Crystal City,38.85779,-77.050589
C10,Ronald Reagan Washington National Airport,38.852985,-77.043805
C11,Potomac Yard,38.83321,-77.04642
C12,Braddock Road,38.814009,-77.053763
C13,King St-Old Town,38.806474,-77.061115
C14,Eisenhower Avenue,38.800313,-77.071173
C15,Huntington,38.793841,-77.075301
D01,Federal Triangle,38.893757,-77.028218
D02,Smithsonian,38.888022,-77.028232
D03,L'Enfant Plaza,38.884775,-77.021964
D04,Federal Center SW,38.884958,-77.01586
D05,Capitol South,38.884968,-77.005137
D06,Eastern Market,38.884124,-76.995334
D07,Potomac Ave,38.880841,-76.985721
D08,Stadium-Armory,38.88594,-76.977485
D09,Minnesota Ave,38.898284,-76.948042
D10,Deanwood,38.907734,-76.936177
D11,Cheverly,38.91652,-76.915427
D12,Landover,38.934411,-76.890988
D13,New Carrollton,38.947674,-76.872144
E01,Mt Vernon Sq 7th St-Convention Center,38.905604,-77.022256
E02,Shaw-Howard U,38.912919,-77.022194
E03,U Street/African-Amer Civil War Memorial/Cardozo,38.916489,-77.028938
E04,Columbia Heights,38.928672,-77.032775
E05,Georgia Ave-Petworth,38.936077,-77.024728
E06,Fort Totten,38.951777,-77.002174
E07,West Hyattsville,38.954931,-76.969881
E08,Hyattsville Crossing,38.965276,-76.956182
E09,College Park-U of Md,38.978523,-76.928432
E10,Greenbelt,39.011036,-76.911362
F01,Gallery Pl-Chinatown,38.89834,-77.021851
F02,Archives-Navy Memorial-Penn Quarter,38.893893,-77.021902
F03,L'Enfant Plaza,38.884775,-77.021964
F04,Waterfront,38.876221,-77.017491
F05,Navy Yard-Ballpark,38.876588,-77.005086
F06,Anacostia,38.862072,-76.995648
F07,Congress Heights,38.845334,-76.98817
F08,Southern Avenue,38.840974,-76.97536
F09,Naylor Road,38.851187,-76.956565
F10,Suitland,38.843891,-76.932022
F11,Branch Ave,38.826995,-76.912134
G01,Benning Road,38.890488,-76.938291
G02,Capitol Heights,38.889757,-76.913382
G03,Addison Road-Seat Pleasant,38.886713,-76.893592
G04,Morgan Boulevard,38.8913,-76.8682
G05,Downtown Largo,38.9008,-76.8449
J02,Van Dorn Street,38.799193,-77.129407
J03,Franconia-Springfield,38.766129,-77.168797
K01,Court House,38.891499,-77.08391
K02,Clarendon,38.886373,-77.096963
K03,Virginia Square-GMU,38.88331,-77.104267
K04,Ballston-MU,38.882071,-77.111845
K05,East Falls Church,38.885841,-77.157177
K06,West Falls Church,38.90067,-77.189394
K07,Dunn Loring-Merrifield,38.883015,-77.228939
K08,Vienna/Fairfax-GMU,38.877693,-77.271562
N01,McLean,38.924478,-77.210167
N02,Tysons,38.920056,-77.223314
N03,Greensboro,38.919749,-77.235192
N04,Spring Hill,38.929273,-77.241988
N06,Wiehle-Reston East,38.947753,-77.340179
N07,Reston Town Center,38.952768,-77.360185
N08,Herndon,38.952821,-77.385178
N09,Innovation Center,38.960758,-77.415295
N10,Washington Dulles International Airport,38.955784,-77.448148
N11,Loudoun Gateway,38.99204,-77.460685
N12,Ashburn,39.005283,-77.491537
